date,type,registration,operator,fatalities,location,country,cat,year
date unk.,BN-2A Islander,MM60223,Somalian Aeronautical Corps,,,Unknown country,U1,unknown
date unk.,BN-2A Islander,N67HA,MD Air Services,0,Nassau Internati...,Bahamas,A1,unknown
date unk.,BN-2A Islander,9Q-CRF,Enterprise General M.Forrest,,,Unknown country,U1,unknown
date unk.,BN-2A-20 Islander,Z-WPR,Bush Pilots,,Charles Prince ?,Zimbabwe,U1,unknown
date unk.,BN-2A-21 Islander,F-ODHO,Unknown,,,Unknown country,U1,unknown
date unk.,BN-2A-21 Islander,N497BN,St. Lucia Airways,,,Unknown country,U1,unknown
date unk.,BN-2A-21 Islander,5T-MAV,Mauritanian AF,,,Mauritania,U1,unknown
date unk.,BN-2A-21 Islander,5T-MAA,Mauritanian AF,,,Unknown country,U1,unknown
date unk.,BN-2A-26 Islander,5B-CHG,Jenair,,Paphos Internati...,Cyprus,U1,unknown
date unk.,BN-2A-8 Islander,F-OBSN,Bordeaux Aviation,,,Unknown country,U1,unknown
date unk.,BN-2A-8 Islander,YV-508C,Aero Servicios Caicara,,,Unknown country,U1,unknown
date unk.,BN-2A-8 Islander,TZ-ASC,Unknown,0,,Unknown country,U1,unknown
date unk.,BN-2A-8 Islander,XA-GEL,Aviacsa,,Toluca ?,Mexico,U1,unknown
date unk.,BN-2A-8 Islander,N94CA,Harbor Airlines,,,Unknown country,U1,unknown
date unk.,BN-2A-8 Islander,F-ODYF,Aviazur,,NoumÃ©a ?,New Caledonia,U1,unknown
date unk.,BN-2B-21 Islander,SAF001,Surinam Air Force,,,Unknown country,U1,unknown
date unk.,Douglas C-47A (DC-3),HK-1505,Unknown,0,within Bahamas,Bahamas,A1,unknown
date unk.,Douglas C-47D (DC-3),43-49023,USAAF,,Unknown,Unknown country,U1,unknown
date unk.,Fairchild C-82A Packet,XH-139,SAHSA,,Trujillo-Capiro ...,Honduras,A1,unknown
date unk.,Fairchild SA227-DC Metro 23 (C-26B),341,Peruvian AF,,unknown,Peru,A1,unknown
date unk.,Grumman G-159 Gulfstream I,5Y-JET,JetPet,0,Nairobi-Wilson A...,Kenya,A1,unknown
date unk.,Ilyushin Il-12,,Soviet AF,,near Tukalan River,Russia,A1,unknown
date unk.,Ilyushin Il-14T,CCCP-04180,"GUSMP, Directorate of Polar Aviation",0,Ice Station Koms...,Antarctica,A1,unknown
date unk.,Ilyushin Il-76,CCCP-86711,Ilyushin,,Riga-Spilve Airp...,Latvia,A1,unknown
date unk.,Ilyushin Il-76M,CCCP-86742,Soviet AF,,,Unknown country,U1,unknown
date unk.,Ilyushin Il-76M,CCCP-86834,Soviet AF,0,Novokuznetsk Air...,Russia,A1,unknown
date unk.,Ilyushin Il-76M,CCCP-86859,Soviet AF,0,Shadrinsk Air Base,Russia,A1,unknown
date unk.,Ilyushin Il-76TD,7O-ADF,Yemen AF,0,Sana'a Internati...,Yemen,O1,unknown
date unk.,Ilyushin Il-78,76736,Ukraine Air Force,0,Uzyn Air Base,Ukraine,O1,unknown
date unk.,Let L-410T,0931,Libyan Arab Rep. Air Force,,,Libya,U1,unknown
date unk.,Let L-410UVP,HR-ASF,Atlantic Airlines,,La Ceiba ?,Honduras,A1,unknown
date unk.,Lisunov Li-2,,Unknown,,near Ugulan,Russia,A1,unknown
date unk.,Lisunov Li-2,CCCP-63916,"Aeroflot, Yakutsk",,near Tiksi,Russia,A1,unknown
date unk.,Lisunov Li-2F,39,Polish AF,0,,Poland,O1,unknown
date unk.,SNCASO S.O.94R Corse II,56.S.17,French Navy,0,within France,France,A1,unknown
date unk.,Super Avia 14,LZ-ILF,Balkan Bulgarian,,Provadia,Bulgaria,A1,unknown
date unk.,Yakovlev Yak-40EC,I-JAKI,Weasua Air Transport,,Monrovia-Sprigg ...,Liberia,U1,unknown
02-AUG-1919,Caproni Ca.48,,Caproni,14,Verona,Italy,A1,1919
11-AUG-1919,Felixstowe Fury,N123,RAF,1,near Felixtowe RNAS,U.K.,A1,1919
23-FEB-1920,Handley Page O/7,G-EANV,Handley Page Transport,0,"Acadia Siding, C...",South Africa,A1,1920
25-FEB-1920,Handley Page O/400,G-EAMC,Handley Page Transport,0,near El Shereik,Sudan,A1,1920
30-JUN-1920,Handley Page O/400,G-EAKE,Handley Page Transport,0,ÃstanÃ¥,Sweden,A1,1920
14-DEC-1920,Handley Page O/400,G-EAMA,Handley Page Transport,4,Golders Green,U.K.,A1,1920
15-JAN-1921,Aeromarine 75,,Aeromarine Airways,0,Havana harbour,Cuba,O1,1921
02-MAR-1921,Handley Page O/7,G-IAAC,HP Indo-Burmese Transport,0,Meerut,India,O1,1921
04-MAR-1921,Caproni Ca.60 Noviplano,,Caproni,0,Lago Maggiore,Italy,A1,1921
26-AUG-1921,Farman F.60 Goliath,O-BLAN,SNETA,2,near Calais [The Engl...,France,A1,1921
27-SEP-1921,Farman F.60 Goliath,O-BRUN,SNETA,0,Evere Airfield,Belgium,O1,1921
27-SEP-1921,Farman F.60 Goliath,O-BLEU,SNETA,0,Evere Airfield,Belgium,O1,1921
30-DEC-1921,Handley Page O/10,G-EATM,Handley Page Transport,,Berck-sur-Mer,France,U1,1921
22-JAN-1922,Handley Page O/10,G-EATN,Handley Page Transport,0,near Senlis,France,A1,1922
31-MAR-1922,Handley Page O/7,,Chinese Government,14,near Beijing-Nanyuan ...,China,A1,1922
07-APR-1922,Farman F.60 Goliath,F-GEAD,Grands Express AÃ©riens,5,Thieuloy-Saint-A...,France,A1,1922
13-JAN-1923,Aeromarine 75,,Aeromarine Airways,4,"near Havana, Cuba",Atlantic Ocean,A1,1923
14-MAY-1923,Farman F.60 Goliath,F-AEBY,Air Union,6,"Monsures, Somme",France,A1,1923
25-JUN-1923,Farman F.60 Goliath,F-AEDL,Air Union,0,near Ãtaples,France,A1,1923
10-JUL-1923,Handley Page W.8,G-EAPJ,Handley Page Transport,0,Poix,France,A1,1923
15-JUL-1923,Farman F.60 Goliath,F-AEEE,Compagnie AÃ©rienne FranÃ§aise,0,near Valenciennes,France,A1,1923
27-AUG-1923,Farman F.60 Goliath,F-AECB,Air Union,1,"East Malling, Kent",U.K.,A1,1923
03-DEC-1923,Farman F.60 Goliath,F-AEIF,Air Union,,"Littlestone, Kent",U.K.,A1,1923
??-???-1923,Aeromarine 75,,Aeromarine Airways,0,Havana harbour,Cuba,O1,1923
22-JAN-1924,Farman F.60 Goliath,F-GEAO,Air Union,,London-Croydon A...,U.K.,A1,1924
06-AUG-1924,Farman F.60 Goliath,F-ADDT,Air Union,0,"Golden Green, ne...",U.K.,A2,1924
24-AUG-1924,Farman F.61 Goliath,F-ADFP,SGTA,0,near Amsterdam-Schiph...,Netherlands,A1,1924
16-OCT-1925,Farman F.60 Goliath,F-HMFU,Air Union,3,"Wadhurst, East S...",U.K.,A1,1925
14-NOV-1925,Farman F.60 Goliath,F-FHMY,Air Union,0,near Boulogne [Englis...,France,A2,1925
18-AUG-1926,BlÃ©riot 155,F-AIEB,Air Union,4,"Hurst, near Ashf...",U.K.,A1,1926
02-OCT-1926,BlÃ©riot 155,F-AICQ,Air Union,7,"Leigh, Kent",U.K.,A1,1926
21-OCT-1926,Handley Page W.10,G-EBMS,Imperial Airways,0,English Channel,U.K.,A1,1926
20-NOV-1926,Junkers G.24,D-944,Deutsche Lufthansa,,KÃ¶nigsberg,Germany,A1,1926
05-MAY-1927,Farman F.61 Goliath,F-ADFN,SGTA,2,Atlantic Ocean,Atlantic Ocean,A1,1927
22-AUG-1927,Fokker F.VIII,H-NADU,KLM,1,"St. Julians, Sev...",U.K.,A1,1927
15-FEB-1928,Handley Page W.8b,G-EBBG,Imperial Airways,0,near Abbeville,France,A1,1928
11-MAR-1928,Farman F.60 Goliath,F-AEFC,Air Union,2,"near Folkestone, Kent...",U.K.,A1,1928
11-APR-1928,Fokker F.VIII,H-NAEE,KLM,0,Nigtevecht,Netherlands,A1,1928
19-APR-1928,Junkers G.24,D-946,Deutsche Lufthansa,0,Spaichingen,Germany,A1,1928
12-MAY-1928,Ford 4-AT-A Tri-Motor,NC1492,Ford Air Freight Lines,2,"Dearborn, MI",USA,A1,1928
23-MAY-1928,Farman F.63bis Goliath,F-AEIE,SGTA,3,near KÃ¶ln-Butzweiler...,Germany,A1,1928
25-AUG-1928,Ford 4-AT-B Tri-Motor,G-CATX,British Columbia Airways,7,"near Port Townsend, WA",USA,A1,1928
25-SEP-1928,Junkers G.31de,D-1427,Deutsche Lufthansa,0,Arnsberg,Germany,A1,1928
13-OCT-1928,Ford 4-AT-A Tri-Motor,NC880,Stout Air Services,0,"Detroit, MI",USA,A1,1928
23-NOV-1928,Ford 4-AT-B Tri-Motor,NC7687,Spokane Airways,3,"Moran Prairie, S...",USA,A1,1928
01-DEC-1928,Ford 4-AT-C Tri-Motor,NC7862,Sunbeam Air Transport Co.,5,"near Spur, TX",USA,A1,1928
11-DEC-1928,Junkers G.31fi,D-1473,Deutsche Lufthansa,3,Letzlingen,Germany,A1,1928
22-DEC-1928,Ford 4-AT-A Tri-Motor,NC3443,Texaco,0,"Floresville, TX",USA,A1,1928
??-DEC-1928,Junkers G.31ce,D-1137,Deutsche Lufthansa,,,Germany,A1,1928
16-JAN-1929,Ford 4-AT-A Tri-Motor,NC1076,Stout Air Services,0,"near Toledo, OH",USA,A1,1929
??-FEB-1929,Junkers G.24,D-899,Deutsche Lufthansa,,"Epinais, Bretagne",France,A1,1929
17-MAR-1929,Ford 4-AT-B Tri-Motor,NC7683,Colonial Western Airlines,14,"near Newark Airport, ...",USA,A1,1929
19-MAR-1929,Ford 5-AT-B Tri-Motor,NC9674,Ford Motor Company,4,"Dearborn, MI",USA,A1,1929
12-APR-1929,Dornier Do R4 Superwal,I-RIDE,SANA,0,near Napoli,Italy,O1,1929
21-APR-1929,Ford 5-AT-B Tri-Motor,NC9636,Maddux Airlines,5+ 1,near San Diego Airpor...,USA,A1,1929
16-MAY-1929,Vickers 170 Vanguard,G-EBCP,Vickers-Armstrongs,2,Shepperton,U.K.,A1,1929
19-MAY-1929,Farman F.63bis Goliath,F-GEAI,Air Union,0,"Paddock Wood, Kent",U.K.,A1,1929
02-JUN-1929,Fokker F.10A,NC393E,Western Air Express,0,"Wichita, KS",USA,O1,1929
13-JUN-1929,Fokker F.10A,NC9700,Pan Am,2,Santiago Airport...,Cuba,A1,1929
17-JUN-1929,Handley Page W.10,G-EBMT,Imperial Airways,7,near Dungeness,U.K.,A1,1929
24-JUN-1929,Ford 5-AT-A Tri-Motor,NC7416,Northwest Airways,1,"Saint Paul, MN",USA,A1,1929
29-AUG-1929,Junkers G.24li,SE-AAF,AB Aerotransport,0,Emsland,Germany,A1,1929
03-SEP-1929,Ford 5-AT-B Tri-Motor,NC9649,Transcontinental Air Transport - TAT,8,"near Gallup, NM",USA,A1,1929
06-SEP-1929,DH.66 Hercules,G-EBMZ,Imperial Airways,3,Jask Airport,Iran,A1,1929
10-SEP-1929,Rohrbach Ro X Romar I,D-1734,Deutsche Lufthansa,0,near GrÃ¶mitz,Germany,A1,1929
19-OCT-1929,Sabca (Handley Page) W.8B,OO-AHK,Sabena,0,Edegem,Belgium,A1,1929
26-OCT-1929,Short S.8/1 Calcutta,G-AADN,Imperial Airways,7,near La Spezia,Italy,A1,1929
??-OCT-1929,Farman F.63bis Goliath,F-FARI,SGTA,,,Unknown country,U1,1929
06-NOV-1929,Junkers G.24bi,D-903,Deutsche Lufthansa,7,"near Godstone, Surrey",U.K.,A1,1929
18-NOV-1929,Rohrbach Ro X Romar I,D-1693,Deutsche Lufthansa,0,LÃ¼beck-TravemÃ¼...,Germany,A1,1929
27-NOV-1929,Fokker F.32,NX124M,Fokker Aircraft Corp. of America,0,near Hempstead-Roosev...,USA,A1,1929
04-DEC-1929,Curtiss B-2 Condor (Condor 18),29-28,USAAC,1,"Goodwater, AL",USA,A1,1929
12-DEC-1929,Farman F.180T,F-AIVR,SGTA,0,Toussus-le-Noble,France,O1,1929
26-DEC-1929,Fokker F.10,NC5358,Western Air Express,0,Oakland Municipa...,USA,A1,1929
19-JAN-1930,Ford 5-AT-C Tri-Motor,NC9689,Maddux Airlines,16,"Oceanside, CA",USA,A1,1930
07-FEB-1930,Junkers R-42 (G.24),J6,Chilean AF,2,near Punta Arenas,Chile,A1,1930
08-FEB-1930,Ford 4-AT-A Tri-Motor,NC2492,Private,0,"San Marcos, TX",USA,A1,1930
10-FEB-1930,Farman F.63bis Goliath,F-FHMY,Air Union,2,"Marden, Kent",U.K.,A1,1930
14-FEB-1930,DH.66 Hercules,G-EBNA,Imperial Airways,0,Gaza,Israel,A1,1930
23-FEB-1930,Fokker F.10A,NC279E,Western Air Express,3,"near San Bernardino, CA",USA,A1,1930
02-MAR-1930,Ford 4-AT-A Tri-Motor,R-131,NYRBA,0,Cordoba,Argentina,A1,1930
08-APR-1930,Ford 5-AT-C Tri-Motor,R-148,Tri-Motor Safety Airways,,Buenos Aires,Argentina,A1,1930
31-MAY-1930,Handley Page W.9a Hampstead,VH-ULK,Ellyou Goldfields Development,,Mount Misim,P.N. Guinea,A1,1930
05-JUN-1930,Ford 5-AT-B Tri-Motor,NC9675,Colonial Air Transport,1,"Boston, MA",USA,A1,1930
25-JUN-1930,Ford 5-AT-A Tri-Motor,NC7739,Northwest Airways,0,Chicago Municipa...,USA,O1,1930
25-JUN-1930,Fokker F.10A,NC457E,Universal Airlines,0,"Chicago, IL",USA,O1,1930
25-JUN-1930,Fokker F.10A,NC879E,Universal Airlines,0,"Chicago, IL",USA,O1,1930
25-JUN-1930,Fokker F.10A,NC803E,Universal Airlines,0,"Chicago, IL",USA,O1,1930
25-JUN-1930,Fokker F.10A,NC135E,Universal Airlines,0,"Chicago, IL",USA,O1,1930
25-JUN-1930,Fokker F.10,NC8010,Shell Oil,0,"Chicago, IL",USA,O1,1930
25-JUN-1930,Fokker F.10,NC5614,Northern Airlines,0,"Chicago, IL",USA,O1,1930
09-JUL-1930,Farman F.63bis Goliath,F-ADFQ,SGTA,1,Aalsmeer,Netherlands,A1,1930
12-JUL-1930,Curtiss Condor 18,NC.....,Curtiss,,"Valley Stream, NY",USA,A1,1930
04-AUG-1930,Ford JR-3 (5-AT-C) Tri-Motor,A8598,USMC,0,"Ocotal, Nueva Se...",Nicaragua,A1,1930
22-AUG-1930,Ford 5-AT-C Tri-Motor,OK-FOR,CSA,12,Jihlava (Iglau),Czech Rep.,A1,1930
03-SEP-1930,Fokker F.10A,NC810H,Pan Am,0,Santo Domingo,Dominican Rep.,O1,1930
30-OCT-1930,Handley Page W.8g,G-EBIX,Imperial Airways,3,"Boulogne, Paris",France,A1,1930
07-NOV-1930,Junkers G.24,P-BAHA,Syndicato Condor,1,"near Iguape, SP",Brazil,A1,1930
21-NOV-1930,Ford 4-AT-B Tri-Motor,NC7118,Curtiss-Wright Flying Service,0,"Burbank, CA",USA,O1,1930
21-NOV-1930,Dornier Do R4 Superwal,I-RONY,SANA,6,"near Cap de Creus, Spain",Mediterranean Sea,A1,1930
22-NOV-1930,Fokker F.10A,NC580K,Southern Air Fast Express,,Dallas-Love Fiel...,USA,U1,1930
24-NOV-1930,Ford 5-AT-C Tri-Motor,NX419H,Ford Motor Company,2,"Dearborn, MI",USA,A1,1930
20-DEC-1930,Ford 4-AT-E Tri-Motor,NC9611,Pittsburgh Airways,,"Jennerstown, PA",USA,A1,1930
22-DEC-1930,Fokker F.10,NC5170,Western Air Express,0,"Alhambra, CA",USA,A1,1930
??-???-1930,Junkers JuG-1W (G.24),,Soviet AF,,,Russia,A1,1930
27-JAN-1931,Ford 5-AT-B Tri-Motor,NC9647,TWA,0,"Harrisburg, PA",USA,A1,1931
21-FEB-1931,Ford Tri-Motor,,Panagra,0,Arequipa Airport...,Peru,H2,1931
31-MAR-1931,Fokker F.10A,NC999E,TWA,8,"near Bazaar, KS",USA,A1,1931
01-APR-1931,Ford 5-AT-C Tri-Motor,NC8418,Panagra,0,Ovalle Airport (...,Chile,A1,1931
17-APR-1931,Ford 5-AT-C Tri-Motor,CV-FAI,Private,0,"near Mohania, Bihar",India,A1,1931
18-APR-1931,Junkers F.24ko (G.24),D-896,Deutsche Lufthansa,0,Gex (Ain),France,A2,1931
19-APR-1931,DH.66 Hercules,G-EBMW,Imperial Airways,0,near Kupang,Indonesia,A1,1931
22-APR-1931,A.W. Argosy II,G-AACH,Imperial Airways,0,London-Croydon A...,U.K.,A1,1931
29-APR-1931,Ford 5-AT-C Tri-Motor,NC421H,National Air Transport,0,"near Elyria, OH",USA,A1,1931
11-JUN-1931,Junkers G.24,SE-AAG,AB Aerotransport,0,MalmÃ¶-Bulltofta...,Sweden,O1,1931
16-JUN-1931,A.W. Argosy IA,G-EBLO,Imperial Airways,0,Aswan,Egypt,A1,1931
04-AUG-1931,Fokker F.IX,PH-AFK,KLM,0,Rotterdam-Waalha...,Netherlands,A1,1931
07-AUG-1931,Fokker F.10A,X-ABCR,Mexicana,,"Miami, FL",USA,A1,1931
09-AUG-1931,Ford 5-AT-B Tri-Motor,NC9662,American Airways,6,"Cincinnati, OH",USA,A1,1931
19-AUG-1931,Ford 5-AT-B Tri-Motor,NC9554,TWA,0,"Pittsburgh, PA",USA,A1,1931
27-AUG-1931,Sikorsky S.41B,NC41V,Boston-Maine Airways,1,"near Gloucester, MA",USA,A1,1931
19-SEP-1931,Ford XB-906 (Tri-Motor),NX9652,Ford Motor Company,2,"near Dearborn, MI",USA,A1,1931
27-OCT-1931,Ford 5-AT-C Tri-Motor,NC427H,National Air Transport,0,"Ashley, IN",USA,A1,1931
19-DEC-1931,Ford 4-AT-E Tri-Motor,NC7119,TWA,1,"Oklahoma City, OK",USA,A1,1931
08-FEB-1932,Fokker F.10A,NC812H,Transamerican Airlines,,"Detroit, MI",USA,O1,1932
15-MAR-1932,Ford 4-AT-B Tri-Motor,NC4805,Skyway,0,Blackwell Airpor...,USA,O1,1932
19-MAR-1932,Fokker F.10A,NC652E,American Airways,7,"Calimesa, CA",USA,A1,1932
27-JUN-1932,Junkers PS-5 (G.24),CCCP-L718,Dobrolet,,Nizhnetambovsk,Russia,A1,1932
10-JUL-1932,Boeing 80A,NC229M,Boeing Air Transport,0,"Sterling, IL",USA,A1,1932
16-JUL-1932,Ford 5-AT-C Tri-Motor,NC403H,Panagra,9,near Vitacura,Chile,A1,1932
29-JUL-1932,Junkers Ju-52/3mce,D-2201,Deutsche Lufthansa,0,near Schleissheim Aer...,Germany,A2,1932
31-AUG-1932,Junkers G.24,SE-AAE,AB Aerotransport,2,Tubbergen,Netherlands,A1,1932
08-SEP-1932,Fokker F.10A,NC9716,American Airways,3,"near Salt Flat, TX",USA,A1,1932
17-SEP-1932,LiorÃ© et Olivier 212,F-AIFE,Air Union,1,Selsdon Park,U.K.,A1,1932
02-OCT-1932,Ford 5-AT-B Tri-Motor,NC9664,Pan Am,0,"El Aceituno, Cho...",Honduras,A1,1932
26-OCT-1932,Ford 5-AT-D Tri-Motor,unreg.,LAB,2,"Villamontes, Gra...",Bolivia,A1,1932
11-DEC-1932,Fokker F.10A,NC39N,Western Air Express,,"Lynndyl, UT",USA,U1,1932
14-DEC-1932,Ford 5-AT-B Tri-Motor,NC9650,TWA,2,Amarillo-English...,USA,A1,1932
13-JAN-1933,LiorÃ© et Olivier 213,F-AJNS,Air Union,0,Poix-de-Picardie,France,A1,1933
14-JAN-1933,Curtiss Condor 18,NC185H,Eastern Air Transport,2,"Newark, NJ",USA,A1,1933
24-JAN-1933,Ford 5-AT-D Tri-Motor,NC431H,Pacific Air Transport,2,"Eugene, OR",USA,A1,1933
10-FEB-1933,Ford 5-AT-B Tri-Motor,NC9666,TWA,0,"Bakersfield, CA",USA,A1,1933
22-MAR-1933,Ford JR-3 (5-AT-C) Tri-Motor,A8599,USMC,0,"Virginia Beach, VA",USA,A1,1933
28-MAR-1933,A.W. Argosy II,G-AACI,Imperial Airways,15,near Diksmuide,Belgium,A1,1933
31-MAR-1933,Ford 4-AT-B Tri-Motor,NC7686,Private,7,"near Neodesha, KS",USA,A1,1933
27-MAY-1933,Junkers Ju-52/1mcai,D-2356,RDL,,Zechliner HÃ¼tte,Germany,A1,1933
02-JUN-1933,Ford 4-AT-E Tri-Motor,NR9614,Plane Speaker Corporation,0,Hempstead-Roosev...,USA,O1,1933
11-AUG-1933,Dornier Do R4 Superwal,I-RATA,SANA,0,near Valencia,Spain,A1,1933
13-AUG-1933,Junkers PS-5 (G.24),CCCP-L743,Dobrolet,,,Russia,U1,1933
29-AUG-1933,Ford 5-AT-B Tri-Motor,NC9607,TWA,5,"near Quay, NM",USA,A1,1933
21-SEP-1933,Curtiss T-32 Condor II,NC12373,Eastern Air Transport,0,"Newark, NJ",USA,A1,1933
18-OCT-1933,Ford 4-AT-B Tri-Motor,NC4806,Private,3,Managua,Nicaragua,A1,1933
16-NOV-1933,LiorÃ© et Olivier 213,F-AIFD,Air France,0,near Beauvais,France,A1,1933
21-NOV-1933,Kalinin K-7,,Kalinin Design Bureau,14+ 1,near Kharkov,Ukraine,A1,1933
24-NOV-1933,Fokker F.10A,X-ABEA,AerovÃ­as Centrales,,LeÃ³n,Mexico,A1,1933
15-JAN-1934,Dewoitine D.332,F-AMMY,Air France,10,Corbigny,France,A1,1934
05-MAR-1934,Ford 4-AT-B Tri-Motor,NC7120,Morgan Air Lines,1,ToncontÃ­n,Honduras,A1,1934
10-MAR-1934,Junkers F.24k2ay (G.24),D-1019,Deutsche Lufthansa,,Gliwice,Poland,A1,1934
22-MAR-1934,Ford 5-AT-C Tri-Motor,NC407H,Panagra,4,Lima-Limatambo A...,Peru,A1,1934
31-MAY-1934,LiorÃ© et Olivier 213,F-AIVG,Air France,2,Croydon,U.K.,A1,1934
09-JUN-1934,Curtiss T-32 Condor II,NC12354,American Airways,7,near Livingston Manor...,USA,A1,1934
11-JUN-1934,Ford C-4A (5-AT-D) Tri-Motor,31-403,USAAC,0,"Camp Skeel, Osco...",USA,A1,1934
11-JUN-1934,Ford 5-AT-C Tri-Motor,NC8417,Panagra,5,Junin,Argentina,A1,1934
23-JUN-1934,Ford 4-AT-B Tri-Motor,NC7685,Mulzer Flying Service,0,"Columbus, OH",USA,O1,1934
01-JUL-1934,Ford 4-AT-D Tri-Motor,NC7586,Private,0,"Lima, OH",USA,A1,1934
27-JUL-1934,Curtiss AT-32C Condor II,CH-170,Swissair,12,Wurmlingen/Tuttl...,Germany,A1,1934
23-AUG-1934,Junkers PS-5 (G.24),CCCP-L742,Dobrolet,,,Russia,A1,1934
02-SEP-1934,Ford 5-AT-D Tri-Motor,NC9655,Hanford's Tri-State Airlines,0,"Cochrane, WI",USA,A1,1934
22-SEP-1934,Handley Page W.10,G-EBMM,National Aviation Displays,4,"Aston Clinton, B...",U.K.,A1,1934
27-SEP-1934,Fokker F.10A,X-ABCS,Mexicana,,Irapuato,Mexico,A1,1934
19-OCT-1934,DH.86 Express,VH-URN,Holyman's Airways,11,near Wilsons Promonto...,Australia,A1,1934
26-OCT-1934,Ford 4-AT-E Tri-Motor,NC8403,Ptarmigan Airlines,0,"Flat Airport, AK...",USA,A1,1934
29-OCT-1934,Ford 4-AT-.  Tri-Motor,,TACA de Honduras,0,La Ceiba Airport...,Honduras,O1,1934
06-NOV-1934,Junkers Ju-52/3mge,D-AVAN,Deutsche Reichsbahn-Gesellschaft,5,"Gross-Rackitt, P...",Poland,A1,1934
15-NOV-1934,DH.86 Express,VH-USG,Qantas,4,"near Ilfracombe, QLD",Australia,A1,1934
10-DEC-1934,Ford 4-AT-E Tri-Motor,NM-7,Cubana,4,near Palma Soriano,Cuba,A1,1934
19-DEC-1934,Curtiss AT-32B Condor II,NC12395,American Airways,0,"Buffalo, NY",USA,A1,1934
20-DEC-1934,Douglas DC-2-115A,PH-AJU,KLM,7,near Rutbah Wells,Iraq,A1,1934
28-DEC-1934,Curtiss T-32C Condor II,NC12363,American Airways,0,"near Wilmurt, NY",USA,A1,1934
??-???-1934,Ford 4-AT-B Tri-Motor,NC9609,Private,0,"Boca Chica, Tama...",Mexico,O1,1934
23-JAN-1935,Curtiss T-32 Condor II,NC12376,Eastern Air Transport,,"Atlanta, GA",USA,A1,1935
31-JAN-1935,Junkers Ju-52/3mge,D-AREN,Deruluft,11,near Szczecin,Poland,A1,1935
06-APR-1935,Fokker F.XII,PH-AFL,KLM,7,near Brilon,Germany,A1,1935
16-APR-1935,Consolidated 16 Commodore,NC660M,Pan Am,0,"Miami, FL",USA,O1,1935
25-APR-1935,Junkers Ju-52/3mho,D-AJYR,Deutsche Lufthansa,3,near Hallgarten,Germany,A1,1935
28-APR-1935,Ford 4-AT-B Tri-Motor,NC7863,Private,0,"Gadsden, AL",USA,A1,1935
06-MAY-1935,Douglas DC-2-112,NC13785,TWA,5,"near Atlanta, MO",USA,A1,1935
07-MAY-1935,Ford 4-AT-.  Tri-Motor,,private,1,Lake Izabal,Guatemala,A1,1935
18-MAY-1935,Tupolev ANT-20 Maxim Gorky,CCCP-I20,Tupolev,35+ 9,Moscow,Russia,A1,1935
18-MAY-1935,Ford 4-AT-E Tri-Motor,NC7864,Knowles Flying Service,3,Flint-Bishop Air...,USA,A1,1935
22-JUN-1935,Savoia-Marchetti S-66,I-NAVE,Ala Littoria,0,Marsaxlokk Bay,Malta,A1,1935
24-JUN-1935,Ford 5-AT-B Tri-Motor,F-31,SACO,10,MedellÃ­n-Enriqu...,Colombia,A1,1935
